date,temperature_2m_mean
1974-11-08 00:00:00+00:00,40.3877
1974-11-09 00:00:00+00:00,39.795197
1974-11-10 00:00:00+00:00,44.42645
1974-11-11 00:00:00+00:00,42.813946
1974-11-12 00:00:00+00:00,44.857697
1974-11-13 00:00:00+00:00,42.573948
1974-11-14 00:00:00+00:00,46.492695
1974-11-15 00:00:00+00:00,49.980206
1974-11-16 00:00:00+00:00,49.3577
1974-11-17 00:00:00+00:00,47.081448
1974-11-18 00:00:00+00:00,44.0327
1974-11-19 00:00:00+00:00,43.953953
1974-11-20 00:00:00+00:00,38.062702
1974-11-21 00:00:00+00:00,35.7152
1974-11-22 00:00:00+00:00,40.84895
1974-11-23 00:00:00+00:00,40.136456
1974-11-24 00:00:00+00:00,42.855198
1974-11-25 00:00:00+00:00,43.2227
1974-11-26 00:00:00+00:00,39.86645
1974-11-27 00:00:00+00:00,39.705196
1974-11-28 00:00:00+00:00,38.718952
1974-11-29 00:00:00+00:00,37.69145
1974-11-30 00:00:00+00:00,37.15145
1974-12-01 00:00:00+00:00,37.5377
1974-12-02 00:00:00+00:00,48.4352
1974-12-03 00:00:00+00:00,46.7177
1974-12-04 00:00:00+00:00,44.475204
1974-12-05 00:00:00+00:00,38.3702
1974-12-06 00:00:00+00:00,38.272697
1974-12-07 00:00:00+00:00,45.6152
1974-12-08 00:00:00+00:00,47.546448
1974-12-09 00:00:00+00:00,47.99645
1974-12-10 00:00:00+00:00,41.055202
1974-12-11 00:00:00+00:00,38.37395
1974-12-12 00:00:00+00:00,34.380207
1974-12-13 00:00:00+00:00,30.322702
1974-12-14 00:00:00+00:00,26.377699
1974-12-15 00:00:00+00:00,37.110203
1974-12-16 00:00:00+00:00,37.267704
1974-12-17 00:00:00+00:00,40.008953
1974-12-18 00:00:00+00:00,39.20645
1974-12-19 00:00:00+00:00,38.940205
1974-12-20 00:00:00+00:00,43.646454
1974-12-21 00:00:00+00:00,45.840195
1974-12-22 00:00:00+00:00,40.552696
1974-12-23 00:00:00+00:00,42.967697
1974-12-24 00:00:00+00:00,38.32145
1974-12-25 00:00:00+00:00,43.166443
1974-12-26 00:00:00+00:00,48.71645
1974-12-27 00:00:00+00:00,46.0652
1974-12-28 00:00:00+00:00,46.770203
1974-12-29 00:00:00+00:00,45.727703
1974-12-30 00:00:00+00:00,38.523952
1974-12-31 00:00:00+00:00,37.8302
1975-01-01 00:00:00+00:00,44.0852
1975-01-02 00:00:00+00:00,41.666447
1975-01-03 00:00:00+00:00,40.7852
1975-01-04 00:00:00+00:00,41.130196
1975-01-05 00:00:00+00:00,43.698956
1975-01-06 00:00:00+00:00,46.035202
1975-01-07 00:00:00+00:00,40.14395
1975-01-08 00:00:00+00:00,33.6302
1975-01-09 00:00:00+00:00,33.8327
